Argentina,67,74
Bangladesh,54,53
Brazil,62,68
Canada,73,80
China,68,72
Colombia,68,74
Egypt,60,61
Ethiopia,50,53
France,74,82
Germany,73,79
India,57,58
Indonesia,59,63
Iran,64,65
Italy,75,82
Japan,76,82
Kenya,59,63
"Korea, North",67,73
"Korea, South",67,73
Mexico,68,76
Morocco,63,66
Myanmar (Burma),53,56
Pakistan,56,57
Peru,62,67
Philippines,62,67
Poland,69,77
Romania,69,75
Russia,64,74
South Africa,61,67
Spain,75,82
Sudan,52,54
Taiwan,72,78
Tanzania,50,55
Thailand,66,71
Turkey,68,72
Ukraine,66,75
United Kingdom,73,79
United States,72,79
Venezuela,71,78
Vietnam,63,67
Zaire,52,56